,open,close,high,low,volume,predict
687,3846.44,3850.42805941,3850.42805951,3838.56976825,32581.80613984,3843.96332766
688,3850.4280595,3843.96332766,3850.4280595,3843.58826065,19380.25046471,3858.18956507
689,3840.91318008,3858.18956507,3858.18956507,3840.91318008,27701.49916781,3855.85145863
690,3858.18956507,3855.85145863,3858.18956507,3850.0,473.22760782,3852.57125197
691,3857.48951992,3852.57125197,3857.48951992,3852.19162005,1810.3548457000002,3846.51464066
692,3854.54235913,3846.51464066,3854.54235913,3842.13993685,40430.62311945,3845.0
693,3847.08306314,3845.0,3853.67759914,3836.66844321,86462.18075495,3851.13519
694,3845.19989999,3851.13519,3851.74526999,3839.17001184,6226.20202154,3838.40000024
695,3848.5251799999996,3838.40000024,3851.03656,3832.91022871,64502.25597964,3846.72144999
696,3838.50000163,3846.72144999,3846.72144999,3838.50000163,617.71082163,3848.09367
697,3847.24158069,3848.09367,3848.09367,3843.96349448,2805.51548439,3859.05856
698,3846.25635171,3859.05856,3859.5759974,3846.2392835999995,12897.75150355,3834.28175868
699,3860.0,3834.28175868,3866.04999999,3834.28175868,38191.73437057,3832.53998001
700,3834.28175868,3832.53998001,3844.26857999,3812.0372,22380.44499163,3830.43
701,3832.53998001,3830.43,3832.53998001,3823.33000015,3318.59204564,3838.25299993
702,3828.10000001,3838.25299993,3838.39999997,3827.29,4532.20373318,3837.8967299999995
703,3838.34646,3837.8967299999995,3840.2,3834.20516,6124.8732832,3841.0
704,3837.57945999,3841.0,3845.0,3834.10000001,63791.65591567,3830.63174066
705,3841.0,3830.63174066,3841.0,3828.27898001,3674.54644609,3829.01179998
706,3830.44992997,3829.01179998,3830.63174066,3825.7789889,5494.18297259,3834.828618
707,3826.67000001,3834.828618,3834.82861847,3821.73517018,5932.75389584,3831.93257362
708,3831.68044806,3831.93257362,3835.58352266,3827.3234503,1870.82866828,3835.55000006
709,3835.01885003,3835.55000006,3835.55000006,3835.01885003,215.32638790000001,3834.67098
710,3839.3905225999997,3834.67098,3841.0,3832.62000003,8064.81987645,3841.32556
711,3834.52348998,3841.32556,3841.42556576,3830.86041002,2889.88736689,3845.35967189
712,3843.61600149,3845.35967189,3858.71959902,3843.61600149,29715.33277627,3855.74286932
713,3850.41396988,3855.74286932,3855.74286932,3845.45967007,3359.63611697,3849.81828644
714,3855.84000004,3849.81828644,3855.84000004,3840.0,129849.03250562,3843.86396
715,3848.1455200000005,3843.86396,3849.91821627,3841.44315,5776.24914757,3842.0
716,3842.61446112,3842.0,3842.61446112,3834.24959,860.92899941,3847.7216299999995
717,3838.7452059,3847.7216299999995,3850.14531044,3834.24959,26624.42175753,3850.08141118
718,3846.30223846,3850.08141118,3852.02209621,3845.47402,21483.46675198,3862.99999999
719,3847.6120301,3862.99999999,3863.92987999,3845.1861993,16725.81105033,3853.89992999
720,3864.99999999,3853.89992999,3902.65759857,3846.16230472,385565.32677471,3846.99999999
721,3855.09,3846.99999999,3864.27999994,3844.76712167,37065.95960747,3858.50000032
722,3846.99999999,3858.50000032,3860.0,3846.65932015,58343.8566824,3850.52409001
723,3858.50000001,3850.52409001,3860.91695457,3850.52409001,44015.83848871,3858.39997997
724,3855.0,3858.39997997,3863.21499,3855.0,5664.60652983,3851.35016
725,3855.00000011,3851.35016,3859.49999999,3845.06389916,17944.2397775,3849.8999799999997
726,3850.16997999,3849.8999799999997,3853.78697,3845.96941221,7518.85250896,3842.9021399999997
727,3850.11158834,3842.9021399999997,3851.33657998,3840.07391676,12772.74929205,3851.93107
728,3840.07391676,3851.93107,3852.4293,3834.99147904,4376.59869521,3864.88136365
729,3850.64138007,3864.88136365,3864.88136365,3850.0,58412.71281806,3859.49
730,3860.60755924,3859.49,3860.60755924,3858.90612919,804.63963367,3855.0
731,3860.58586999,3855.0,3860.58586999,3854.09995999,2623.78322273,3873.06696852
732,3855.0,3873.06696852,3876.61249997,3855.0,55657.64622849,3853.16988
733,3869.81017053,3853.16988,3869.81017053,3852.37020001,37870.09906941,3857.61170002
734,3855.85473029,3857.61170002,3866.5799798,3855.85473029,57238.93362614,3852.59995999
735,3857.7317,3852.59995999,3862.68996998,3852.2673888000004,21892.99714134,3861.1844424999995
736,3852.99999999,3861.1844424999995,3861.71,3852.9073799999996,23726.31583321,3856.07588
737,3860.90060002,3856.07588,3860.90060002,3855.79603964,2435.74165856,3852.51013417
738,3855.80603964,3852.51013417,3856.08768999,3852.34306464,8499.51360673,3854.1
739,3852.71,3854.1,3854.1,3852.71,1985.70685601,3852.31799
740,3854.1,3852.31799,3857.80993999,3852.0197299999995,12397.38630878,3856.1541799999995
741,3853.98511999,3856.1541799999995,3856.23635999,3848.05101539,16896.09246664,3856.60417001
742,3856.23435999,3856.60417001,3860.0,3853.20460003,83553.39779393,3858.12037
743,3858.90159,3858.12037,3858.90159,3853.47000175,5498.03655942,3860.0
744,3858.79996997,3860.0,3860.0,3857.57810846,11940.82201827,3861.7
745,3860.0,3861.7,3861.7,3856.8819289000003,11774.09854869,3861.94211998
746,3862.0,3861.94211998,3866.21859427,3858.51000002,5833.95343633,3859.76316526
747,3866.11,3859.76316526,3879.48917946,3859.76316522,91774.53312315,3875.95830999
748,3863.28299701,3875.95830999,3876.39488991,3860.75631318,41151.58291642,3892.12196757
749,3875.95830999,3892.12196757,3900.0,3873.38151214,58231.334835099995,3879.88787222
750,3885.15371765,3879.88787222,3892.41984999,3879.88787222,19676.43499746,3875.10421347
751,3878.3365376,3875.10421347,3878.3365376,3873.91497951,1421.5691146,3877.6696
752,3875.10421346,3877.6696,3878.27960999,3869.54384755,18606.25834632,3879.72657127
753,3883.85199997,3879.72657127,3883.85199997,3879.72657127,1798.36573912,3884.55299456
754,3875.73004,3884.55299456,3887.0609999999997,3875.73004,2091.14770145,3889.92991058
755,3884.55057106,3889.92991058,3900.0,3884.55057106,42937.96019985,3898.43
756,3890.02991003,3898.43,3900.44865145,3877.02100518,101157.32996142,3876.10404999
757,3898.43,3876.10404999,3898.76517975,3875.00119554,23279.133311200003,3873.9997
758,3875.00119554,3873.9997,3878.78990999,3871.548,14204.36904683,3872.83660101
759,3878.94413496,3872.83660101,3878.94413496,3856.46076,84055.83962,3873.15395122
760,3875.84584997,3873.15395122,3875.85584997,3870.75015063,3383.45170846,3877.12338996
